;all data;;;;bootstrap - mean;;;;;bootstrap - std;;;;;Significance (68.5/95/99.7);;;;
Deepcoil DM;hydrophobic;positive;negative;other;Deepcoil DM;hydrophobic;positive;negative;other;Deepcoil DM;hydrophobic;positive;negative;other;Deepcoil DM vs Deepcoil PM;hydrophobic;positive;negative;other
hydrophobic;45;18;7;64;hydrophobic;36,95;14,55;5,89;51,79;hydrophobic;4,080134802;1,920286437;0,958070979;4,620162335;hydrophobic;***;*;*;***
positive;24;14;5;60;positive;19,69;11,18;4,01;48,59;positive;2,951931571;1,577212731;0,854341852;3,731206239;positive;*;***;***;***
negative;5;17;2;11;negative;4,01;13,76;1,63;8,71;negative;1,072333903;1,631686244;0,522589705;1,351258673;negative;**;**;***;***
other;20;16;6;18;other;16,35;12,77;4,95;14,67;other;1,790949469;1,605334856;1,116915395;1,549548321;other;***;***;***;***
Deepcoil PM;hydrophobic;positive;negative;other;Deepcoil PM;hydrophobic;positive;negative;other;Deepcoil PM;hydrophobic;positive;negative;other;Deepcoil DM vs Proteome DM;hydrophobic;positive;negative;other
hydrophobic;226;13;13;115;hydrophobic;181,87;10,43;10,33;92,71;hydrophobic;7,486861826;1,430069928;1,543081333;4,299523229;hydrophobic;***;***;***;***
positive;35;85;16;136;positive;27,8;68,14;12,73;109,32;positive;2,561249695;4,154563756;1,731213447;5,75478931;positive;***;***;***;***
negative;15;30;31;56;negative;12;23,9;24,56;44,95;negative;1,71464282;2,418677324;2,574179481;3,253843881;negative;***;***;***;***
other;92;96;19;69;other;73,62;77,19;14,74;55,09;other;4,298325255;4,491536485;1,792316936;3,41202286;other;***;***;***;***
Marcoil DM;hydrophobic;positive;negative;other;Marcoil DM;hydrophobic;positive;negative;other;Marcoil DM;hydrophobic;positive;negative;other;Marcoil DM vs Marcoil PM;hydrophobic;positive;negative;other
hydrophobic;161;61;23;266;hydrophobic;127,12;47,95;18,57;210,78;hydrophobic;7,538275665;4,038254573;1,790279308;11,50789294;hydrophobic;***;***;**;***
positive;105;84;24;322;positive;82,41;66,57;18,96;255,07;positive;7,025802445;4,382362377;2,135040983;14,54183964;positive;*;***;***;***
negative;32;96;20;85;negative;24,97;75,44;15,57;67,84;negative;2,551293789;5,614837487;1,762129394;4,518229742;negative;***;***;***;***
other;93;100;35;110;other;73,5;78,96;27,1;86,42;other;4,950757518;5,167049448;2,527844932;6,554662463;other;***;***;***;***
Marcoil PM;hydrophobic;positive;negative;other;Marcoil PM;hydrophobic;positive;negative;other;Marcoil PM;hydrophobic;positive;negative;other;Marcoil DM vs Proteome DM;hydrophobic;positive;negative;other
hydrophobic;691;36;38;413;hydrophobic;555,01;28,9;30,43;329,86;hydrophobic;12,56542478;2,188606863;2,201158786;8,838574546;hydrophobic;***;***;***;***
positive;122;275;69;455;positive;97,3;220,21;55,02;364,78;positive;4,607602413;7,540948216;3,754943408;9,555710335;positive;***;***;***;***
negative;72;159;120;216;negative;58,4;127,48;97,05;172,42;negative;3,343650699;5,411986696;4,299709293;7,095322403;negative;***;***;***;***
other;377;305;111;343;other;301,23;243,41;89,05;274;other;8,254519974;7,476757319;4,13370294;8,168231143;other;***;***;***;***
Ncoils DM;hydrophobic;positive;negative;other;Ncoils DM;hydrophobic;positive;negative;other;Ncoils DM;hydrophobic;positive;negative;other;Ncoils DM vs Ncoils PM;hydrophobic;positive;negative;other
hydrophobic;268;104;43;427;hydrophobic;215,13;83,38;34,13;341,83;hydrophobic;9,674352692;5,071055117;2,816575935;14,72892053;hydrophobic;***;***;0;***
positive;177;135;41;481;positive;142,33;108,98;32,55;384,17;positive;8,682228976;5,368388958;2,519424537;18,69227381;positive;0;***;***;**
negative;39;140;33;131;negative;31,21;112,42;26,32;104,36;negative;2,620286244;6,240480751;2,248910848;6,787517956;negative;***;***;***;***
other;191;173;61;158;other;152,49;138,25;48,77;126,38;other;6,635502995;6,695334196;3,676560893;7,632535621;other;***;***;***;***
Ncoils PM;hydrophobic;positive;negative;other;Ncoils PM;hydrophobic;positive;negative;other;Ncoils PM;hydrophobic;positive;negative;other;Ncoils DM vs Proteome DM;hydrophobic;positive;negative;other
hydrophobic;906;54;44;531;hydrophobic;725,91;43,27;35,46;423,06;hydrophobic;12,08395217;2,788745238;2,376636278;11,31885153;hydrophobic;***;***;***;***
positive;163;376;88;588;positive;130,47;299,72;70,47;469,42;positive;5,575760038;8,82392203;4,281249818;11,58117438;positive;***;***;***;***
negative;89;197;149;271;negative;70,57;156,84;119,14;216,08;negative;3,927480108;5,809853699;5,203883165;6,131362002;negative;***;***;***;***
other;468;384;145;458;other;373,85;307,65;115,99;365,86;other;8,939099507;8,738850039;4,243807253;10,02997507;other;***;***;***;***
Parcoil DM;hydrophobic;positive;negative;other;Paircoil DM;hydrophobic;positive;negative;other;Paircoil DM;hydrophobic;positive;negative;other;Paircoil DM vs Paircoil PM;hydrophobic;positive;negative;other
