NONREDUNDANT ALL DATA;all;;;;;;;;;antiparallel;;;;;;;;;parallel;;;;;;;;;trimer;;;;;;;;;tetramer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcoil;a;27084;11413;91645;46214;261;199;511;279;a;5417;2029;13695;6594;51;37;86;45;a;6146;2079;18540;9824;56;46;97;57;a;12136;5956;43742;23429;108;78;240;133;a;2784;1190;12302;5539;42;35;65;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;37445;45418;34814;58661;190;151;589;394;b;6111;6833;5877;8898;27;22;92;55;b;7644;9089;7618;12155;44;35;121;84;b;18007;22796;16107;28414;84;68;276;189;b;4569;5027;4474;7757;32;23;83;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;34231;44316;36675;61324;183;130;569;358;c;5615;6285;6753;9193;35;25;89;60;c;7301;8996;7614;12691;37;27;108;70;c;16298;22179;16829;29983;70;51;280;170;c;4021;5212;4694;7932;30;20;76;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;16192;16352;97208;46049;242;166;448;242;d;2655;2812;14948;7315;50;31;67;39;d;3703;2838;20682;9278;47;36;85;39;d;7867;8689;45185;23115;98;63;221;124;d;1762;1683;12764;5576;34;27;57;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;38161;43253;37570;57341;273;215;535;337;e;5995;6956;6020;8775;50;40;83;53;e;8387;9270;7089;11751;57;41;104;66;e;18327;20255;19043;27613;111;92;261;162;e;4278;5171;4520;7861;42;33;68;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;39322;42658;35322;59239;185;148;584;377;f;6563;6250;5856;9025;27;22;98;62;f;8451;8510;7600;11955;45;38;116;68;f;18494;21706;17000;28147;82;67;276;183;f;4546;4621;4106;8618;27;17;77;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;39886;44244;39901;52546;283;217;566;361;g;6194;6651;6909;7900;45;35;86;54;g;8023;10443;7608;10512;77;57;112;71;g;18830;21013;19526;26063;100;74;278;180;g;5617;4628;4818;6829;46;38;73;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ncoils;a;37409;11560;120711;59156;451;340;670;355;a;10197;2880;25313;11711;119;93;147;73;a;8638;2084;25188;12679;61;47;118;56;a;14083;5193;52103;26987;195;148;312;182;a;4491;1403;18107;7778;76;52;93;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;47458;54638;47698;76059;334;264;740;483;b;10478;11046;11347;16383;85;70;152;98;b;10058;11467;10458;16089;56;43;136;95;b;20384;25363;19093;32221;143;113;334;213;b;6538;6762;6800;11364;50;38;118;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;45495;50825;47432;80792;350;262;793;497;c;10148;9659;11977;17038;99;72;164;111;c;9669;10859;10274;17010;60;39;177;120;c;19701;23458;18341;35035;137;108;360;213;c;5976;6849;6840;11708;54;43;92;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;20865;19858;117266;65058;354;253;573;300;d;5046;4718;24613;14018;96;69;110;60;d;4928;3468;26009;13270;68;54;121;62;d;8256;9369;49299;28823;148;99;269;136;d;2635;2303;17344;8946;42;31;73;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;47406;52150;48341;76490;401;306;685;418;e;10325;11073;11095;16148;98;74;125;84;e;10532;12289;9195;15772;70;54;167;106;e;20692;21749;21510;32479;171;131;294;169;e;5857;7038;6540;12091;62;47;99;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;48420;50732;49685;76563;310;229;758;488;f;10949;9916;11704;16387;80;58;167;99;f;10773;10648;10795;15761;55;42;158;98;f;20371;24058;20812;31579;130;94;318;211;f;6327;6109;6373;12836;45;35;115;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;49086;54575;54929;70357;402;318;692;449;g;10202;11021;14053;14421;90;73;154;103;g;10440;13348;10452;14281;65;49;151;104;g;20342;23428;23295;31277;184;144;297;183;g;7992;6688;7058;10271;63;52;89;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paircoil;a;37573;11828;116218;72356;459;315;716;389;a;8309;2303;19793;11848;76;52;118;67;a;7283;1838;20057;12100;66;57;99;50;a;17436;6199;60179;39086;249;162;386;222;a;4545;1488;16189;9322;68;44;113;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;45715;50993;56537;85601;417;314;791;496;b;8117;8363;10895;15037;79;56;166;103;b;8109;9202;9775;14267;76;62;138;86;b;23550;27357;28175;44266;201;150;382;245;b;5939;6071;7692;12031;61;46;105;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;43956;53072;54207;87861;395;296;770;466;c;7868;8178;11037;15457;85;61;130;87;c;8210;9326;9390;14546;59;42;139;76;c;22380;28930;26219;45797;200;149;405;238;c;5498;6638;7561;12061;51;44;96;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;20495;22716;119016;75273;436;307;659;378;d;3741;4425;21000;13196;95;79;109;66;d;4165;3349;21685;12131;73;51;101;60;d;10031;12384;60155;39716;215;142;373;210;d;2558;2558;16176;10230;53;35;76;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;46398;50494;57622;84444;503;372;741;448;e;8038;8827;10953;14804;102;76;141;84;e;8964;9738;8881;13942;80;57;131;83;e;23783;25506;30417;43433;255;192;371;218;e;5613;6423;7371;12265;66;47;98;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;50909;47580;56457;84683;415;322;769;473;f;9429;7607;10929;14707;74;57;138;82;f;9304;8518;9777;13920;65;55;129;69;f;26013;25994;28897;42757;221;169;398;253;f;6163;5461;6854;13299;55;41;104;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;48205;49118;63500;78420;459;347;755;450;g;7900;7894;12791;13899;73;48;135;88;g;8375;10356;9904;12740;80;63;113;71;g;24505;25058;33154;40964;236;181;407;232;g;7425;5810;7651;10817;70;55;100;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;All;;;;Antiparallel;;;;Parallel;;;;Trimer;;;;Tetramer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DM;PM;P-value (chi square);;DM;PM;P-value (chi square);;DM;PM;P-value (chi square);;DM;PM;P-value (chi square);;DM;PM;P-value (chi square);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcoil;a;261;511;0,0104641;a;51;86;0,200785162;a;56;97;0,327061825;a;108;240;0,034995934;a;42;65;0,224221111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-a;1356;3291;;non-a;234;515;;non-a;307;646;;non-a;545;1592;;non-a;211;434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
