Ontology level 2;Number of cases;Ontology level 3;Number of cases;Ontology level 4;Number of cases
disease of anatomical entity;734;integumentary system disease;72;skin disease;71
;;;;hair disease;1
;;musculoskeletal system disease;165;connective tissue disease;4
;;;;muscular disease;161
;;urinary system disease;11;kidney disease;11
;;endocrine system disease;2;pituitary gland disease;1
;;;;gonadal disease;1
;;hematopoietic system disease;8;blood coagulation disease;8
;;gastrointestinal system disease;1;diarrhea;1
;;nervous system disease;397;central nervous system disease;294
;;;;peripheral nervous system disease;29
;;;;sensory system disease;74
;;cardiovascular system disease;60;heart disease;60
;;immune system disease;18;primary immunodeficiency disease;17
;;;;hypersensitivity reaction disease;1
disease of mental health;5;developmental disorder of mental health;5;specific developmental disorder;5
syndrome;52;ectodermal dysplasia;7;hypohidrotic ectodermal dysplasia;7
;;noonan syndrome;13;noonan syndrome 9;1
;;;;noonan syndrome 10;1
;;;;noonan syndrome 7;11
;;cornelia de Lange syndrome;15;cornelia de Lange syndrome 2;15
;;charge syndrome;1;-;1
;;cardiofaciocutaneous syndrome;5;cardiofaciocutaneous syndrome 3;1
;;;;cardiofaciocutaneous syndrome 4;4
;;ciliopathy;11;primary ciliary dyskinesia;1
;;;;joubert syndrome;10
genetic disease;56;-;56;-;56
disease of cellular proliferation;21;cancer;4;organ system cancer;4
;;benign neoplasm;17;organ system benign neoplasm;17
disease of metabolism;103;inherited metabolic disorder;40;metal metabolism disorder;1
;;;;carbohydrate metabolic disorder;6
;;;;lipid metabolism disorder;25
;;;;amino acid metabolic disorder;8
;;acquired metabolic disease;63;carbohydrate metabolism disease;63
disease by infectious agent;1;fungal infectious disease;1;systemic mycosis;1
physical disorder;3;congenital nervous system abnormality;3;microcephaly;3
