;;number of variations;;number of variations (normalized);
;coverage;DM;PM;DM;PM
Deepcoil;0-20%;48;163;0,18972332;0,188439306
;21-40%;64;167;0,252964427;0,193063584
;41-60%;67;198;0,264822134;0,228901734
;61-80%;40;165;0,158102767;0,190751445
;81-100%;34;172;0,134387352;0,198843931
Marcoil;0-20%;313;685;0,218728162;0,198034114
;21-40%;306;664;0,213836478;0,191962995
;41-60%;273;694;0,190775681;0,200636022
;61-80%;275;752;0,192173305;0,217403874
;81-100%;264;664;0,184486373;0,191962995
Ncoils;0-20%;459;890;0,187653312;0,191851692
;21-40%;529;917;0,216271464;0,197671912
;41-60%;517;940;0,211365495;0,202629877
;61-80%;492;939;0,201144726;0,202414313
;81-100%;449;953;0,183565004;0,205432205
Parcoil;0-20%;601;948;0,205049471;0,190859674
;21-40%;616;984;0,210167178;0,19810751
;41-60%;606;1004;0,206755374;0,202134085
;61-80%;594;1018;0,202661208;0,204952688
;81-100%;514;1013;0,175366769;0,203946044
Normalized mean values;Coverage;;;;
;0-20%;;;0,200288566;0,192296197
;21-40%;;;0,223309887;0,1952015
;41-60%;;;0,218429671;0,20857543
;61-80%;;;0,188520502;0,20388058
;81-100%;;;0,169451375;0,200046294
P-value (K-S);;;;0,6060606;
