NON REDUNDANT DATASET ALL DATA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;DM;PM;Odds ratio;;;;;
;;Total;DM;PM;P-value (chi square - DMs and PMs);Odds ratio (DM-PM);Rel. Freq (DM);Rel. Freq (PM);;Deepcoil;last 7;44;176;0,459201389;;;;;
Deepcoil;1-7;60176;77;171;0,004567;1,546886825;0,00127958;0,002841664;;;other;288;529;;;;;;
;other;314485;255;876;;;0,000810849;0,002785506;;Marcoil;last 7;268;541;1,19750236;;;;;
Marcoil;1-7;173760;296;541;0,000145;1,350648769;0,001703499;0,00311349;;;other;1349;3261;;;;;;
;other;1060725;1321;3261;;;0,001245375;0,003074312;;Ncoils;last 7;638;1161;1,049248225;;;;;
Ncoils;1-7;355744;725;1162;0,000064;1,246186512;0,002037982;0,003266394;;;other;1964;3750;;;;;;
;other;1225270;1877;3749;;;0,001531907;0,003059734;;Parcoil;last 7;522;917;0,951856553;;;;;
Parcoil;1-7;277760;619;915;0,00499;1,17626398;0,002228543;0,003294211;;;other;2562;4284;;;;;;
;other;1393487;2465;4286;;;0,001768944;0,003075737;;;;;;;;;;;
Mean values;1-7;;;;;1,329996521;0,001812401;0,00312894;;;;;;;;;;;
;other;;;;;;0,001339269;0,002998822;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NON REDUNDANT DATASET RANDOM SAMPLING;;;;;;;;;;;;;;;;;;
;;Mean Rel. Freq (DM);Std Rel. Freq (DM);Mean Rel. Freq (PM);Std Rel. Freq (PM);;;;;;;;;;;;;;
Deepcoil;1-7 residues;0,001521797;0,000105868;0,003236959;9,63E-05;;;;;;;;;;;;;;
;other;0,000732689;4,82E-05;0,002629787;7,90E-05;;;;;;;;;;;;;;
Marcoil;1-7 residues;0,001954623;0,000100067;0,003543318;1,00E-04;;;;;;;;;;;;;;
;other;0,001193019;5,45E-05;0,002980895;3,79E-05;;;;;;;;;;;;;;
Ncoils;1-7 residues;0,002280108;9,52512E-05;0,003685114;6,97E-05;;;;;;;;;;;;;;
;other;0,0014597;3,46E-05;0,002948078;3,14E-05;;;;;;;;;;;;;;
Parcoil;1-7 residues;0,002547463;0,000144566;0,003704155;6,66E-05;;;;;;;;;;;;;;
;other;0,001739622;8,39E-05;0,003011499;3,60E-05;;;;;;;;;;;;;;
Mean;1-7 residues;0,002075998;0,000111438;0,003542386;8,31645E-05;;;;;;;;;;;;;;
;other;0,001281257;5,53002E-05;0,002892565;4,60597E-05;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
NONREDUNDANT DATASET RANDOM SHUFFLING MUTATIONS;;;;;;;;;;;;;;;;;;;
;;Total;DM;PM;P-value (chi square - DMs and PMs);Odds ratio (DM-PM);Rel. Freq (DM);Rel. Freq (PM);;;;;;;;;;;
Deepcoil;1-7;323449;871;256;0,086;1,14969308;0,002692851;0,000791469;;;;;;;;;;;
;other;1721729;2548;861;;;0,000810849;0,002785506;;;;;;;;;;;
Marcoil;1-7;185353;266;625;0,987455;1,001261515;0,001703499;0,00311349;;;;;;;;;;;
;other;1048873;1333;3136;;;0,001245375;0,003074312;;;;;;;;;;;
Ncoils;1-7;311283;565;1122;0,359671;0,947722196;0,002037982;0,003266394;;;;;;;;;;;
;other;1269348;1975;3717;;;0,001531907;0,003059734;;;;;;;;;;;
Parcoil;1-7;243040;496;819;0,222719;1,02738106;0,002228543;0,003294211;;;;;;;;;;;
;other;1427611;2543;4314;;;0,001768944;0,003075737;;;;;;;;;;;
Mean values;1-7;;;;;1,031514463;0,002165719;0,002616391;;;;;;;;;;;
;other;;;;;;0,001339269;0,002998822;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
REDUNDANT DATASET ALL DATA;;;;;;;;;;;;;;;;;;;
;;Total;DM;PM;P-value (chi square - DMs and PMs);Odds ratio (DM-PM);Rel. Freq (DM);Rel. Freq (PM);;;;;;;;;;;
Deepcoil;1-7;430052;221;334;<0.00001;1,596868145;0,000513891;0,00077665;;;;;;;;;;;
;other;2272062;404;975;;;0,000810849;0,002785506;;;;;;;;;;;
Marcoil;1-7;246155;522;868;0,028102;1,144911924;0,001703499;0,00311349;;;;;;;;;;;
;other;1370188;2079;3958;;;0,001245375;0,003074312;;;;;;;;;;;
Ncoils;1-7;418439;1072;1482;0,000046;1,207790117;0,002037982;0,003266394;;;;;;;;;;;
;other;1684962;2943;4914;;;0,001531907;0,003059734;;;;;;;;;;;
Parcoil;1-7;324030;854;1193;0,222719;1,062163457;0,002228543;0,003294211;;;;;;;;;;;
;other;1896942;3826;5677;;;0,001768944;0,003075737;;;;;;;;;;;
Mean values;1-7;;;;;1,252933411;0,001620979;0,002612686;;;;;;;;;;;
;other;;;;;;0,001339269;0,002998822;;;;;;;;;;;
