cluster;representative protein;other proteins
0;Q8WZ42;A0A0A0MT89,A0A0A0MTA3,A0A0A0MT85,A0A0J9YWP8
1;Q8WXI7;
2;Q8NF91;A0A075B6V6,
3;Q7Z5P9;Q05BU3,A0A075B711
4;Q5VST9;V9GZ38,A0A0J9YXM7
5;Q03001;
6;Q9UPN3;
7;Q5CZC0;
8;Q8WXH0;
9;P20929;A0A075B702
10;Q8WXG9;A0A075B6Z2,A0A075B6X4
11;Q09666;
12;Q8IVF2;
13;Q9HC84;
14;P98088;A0A0J9YXA8
15;Q96RW7;
16;Q9NU22;A0A075B6V7
17;O14686;Q156A1,
18;Q9UKN1;
19;Q9Y6R7;A0A0A0MT93,
20;A0A0A0MTC1;Q63HN8
21;P0DPF2;Q3BBV2,A0A087WUL8,P0DPF3,Q3BBV0,Q86T75,B4DH59,Q6P3W6,Q5TI25,Q8N660,Q5TAG4
22;O75445;Q3LI62,
23;Q5T4S7;
24;Q02817;
25;A2VEC9;
26;Q9Y6V0;
27;Q4G0P3;A0A075B6Z8,A0A075B712
28;P58107;A0A0J9YX06
29;Q8NDA2;
30;Q86UQ4;A0A0C4DH63,A0A0A0MT94
31;P21817;Q92736,Q15413,A0A0A0MT96
32;Q2LD37;
33;Q6V0I7;A0A075B714,A0A075B7B9,A0A075B6V2
34;Q8NEZ4;
35;Q15751;
36;Q9NR09;
37;O95714;Q9BVR0
38;Q96M86;
39;Q9P2P6;
40;Q15149;Q9NQ39,P46783,A0A0A0MT87,A0A075B6X8,
41;O75592;
42;P98164;
43;Q14204;
44;Q8TE73;Q96JB1
45;Q9NZR2;A0A075B6Y9,Q07954
46;Q14517;Q9NYQ8,Q8TDW7,A0A075B6V8
47;Q9NZJ4;A0N4Z3
48;P04114;
49;P08519;P00747,Q16609,Q02325,Q15195
50;Q96DT5;Q9UFH2,Q9NYC9
51;Q685J3;
52;Q8IVF4;
53;Q9P225;
54;P98160;
55;Q5THJ4;A0A075B6U8,
56;Q12955;
57;Q7Z6Z7;
58;Q8NCM8;
59;P98161;
60;Q9P2D7;Q8WXX0,Q8TD57,
61;P22105;Q16473
62;Q86WI1;O00631,
63;Q8TCU4;
64;Q9C0G6;
65;P78527;
66;P08F94;A0A075B6V0,
67;Q8N3K9;
68;P20930;
69;Q7Z7G8;
70;Q86XX4;
71;Q9Y4D8;
72;Q03164;
73;Q01484;
74;Q9UPA5;
75;Q96JG9;
76;Q99996;
77;Q9Y4A5;
78;Q99698;
79;Q709C8;
80;Q7Z407;A0A075B6V3,A0A0A0MT78,A0A0J9YWX3,Q7Z408,Q96PZ7
81;Q15911;
82;O15230;
83;P11532;Q13474,
84;Q9NRC6;A0A2R8Y556,
85;Q96T58;
86;Q96Q15;Q6P435,
87;O60494;A0A1B0GTW0,P0DN84
88;Q4LDE5;
89;Q86UP3;
90;Q70CQ2;
91;Q9UKN7;
92;Q8IZQ1;
93;Q0VDD8;
94;Q8IZT6;
95;P78509;A0A075B6U7,A0A0A0MTA4
96;P46939;A0A075B6W7,
97;Q5T011;
98;P51587;
99;P13611;P0C841
100;A4UGR9;
101;Q9H251;
102;O95613;
103;Q16787;
104;Q02505;Q9H195,
105;Q9NYQ7;Q9NYQ6,Q9HCU4,A0A0B4J200,A0A0A0MTA7
106;Q96JQ0;
107;Q15772;
108;M0QZD8;Q6ZTK2,
109;Q14789;
110;Q8N2C7;
111;P46013;
112;Q6ZRS2;A0A0C4DFX4
113;P49792;Q9UNP9,P0DN37,F5H284,P0DJD0,P45877,P23284,A0A075B759,Q7Z3J3,A0A075B767,P0DN26,P62937,O14715,P30405,A0A0B4J2A2,A6NKT7,Q99666,P0DJD1,P43487,O43447,Q9Y536,
114;Q9H799;
115;Q6ZTR5;A0A087X096
116;Q6ZS81;A0A075B6X0,H0YE66
117;P12111;
118;Q96RL7;
119;Q5SZK8;P0C091
120;Q5T1H1;
121;Q96L91;Q6ZTU2,A0A0U1RRL7
122;P42858;
123;O60673;
124;P24043;P25391
125;Q5VT06;
126;P49454;
127;O75962;O60229,Q86VW2
128;Q96N23;
129;Q6ZR08;
130;Q8WUY3;Q86WG3,Q12982,
131;Q8IZF6;
132;Q8IWI9;
133;Q99715;
134;Q13315;
135;Q8NFC6;Q8IYS8,Q96IK1
136;Q12830;Q8WZA8
137;Q8TDJ6;Q9Y485,
138;O94915;Q5TBA9
139;Q9P2D1;Q3L8U1,Q8TD26,A0A075B6X7,Q9HCK8,A0A0A0MT69,A0A075B6W8,A0A075B710
140;Q68DQ2;
141;Q9NR48;
142;O15417;
143;O43149;
144;O95359;
145;Q8NFP9;P0C6P0,P50851
146;Q02388;Q86Y22,P02462,P29400,P53420,P08572,Q14050,Q5TAT6,Q01955,Q14031,Q9BXS0
147;O15050;
148;Q6ZRI0;
149;Q6V1P9;
150;P35556;F6U495,Q75N90,P35555
151;Q9Y520;
152;Q6ZQQ6;
153;P15924;
154;Q86YZ3;Q5D862
155;Q8TDX9;
156;Q7Z7M0;
157;P25054;P0DPP9,Q3ZM63,A0A1B0GVM5,H3BNH8
158;O15018;
159;P21359;
160;Q9NR99;
161;P04275;
162;Q12802;
163;Q9Y493;
164;Q6KC79;
165;P78559;
166;O95071;
167;Q9BXT5;
168;O75691;
169;Q9NT68;Q9P273,Q6N022,Q9UKZ4
170;P01266;
171;Q14643;Q14571,Q14573
172;Q6ZNJ1;
173;Q9H5I5;A0A075B6Y3
174;Q9UQ35;
175;Q14315;O75369,P21333,
176;O60281;
177;P15822;
178;Q8IYW2;
179;Q9UMN6;
180;Q02224;
181;Q96L73;O96028
182;Q6ZS30;
183;Q7Z333;
184;Q92616;
185;Q6UB99;
186;Q9BYK8;A0A075B7E0
187;Q13535;
188;Q9P281;A0A075B6Y2,
189;Q9P2D8;
190;Q99973;
191;A6H8Y1;A0A1B0GV96
192;O15021;Q5TEZ4,Q9Y2H9,O60307,A0A075B6Z0,Q6P0Q8
193;Q6WRI0;
194;Q9UPU5;
195;A8TX70;A6NMZ7,
196;Q9ULT8;
197;O75179;Q8IWZ3,
198;Q9C0D2;
199;Q86UK0;
200;O75417;
201;Q9HCE0;
202;Q9C0A1;
203;Q93008;O00507
204;Q9NY15;
205;Q8IUG5;
206;Q9BYW2;
207;Q9H254;
208;P46531;A0A096LNW5,Q9UM47,P0DPK3,Q04721,P0DPK4,A0A494C1K9,Q7Z3S9
209;Q8WWQ8;
210;P42345;
211;B2RTY4;
212;Q9Y4G6;Q9Y490,
213;Q15652;
214;Q68DK2;
215;Q8TEP8;Q8IVK1
216;P16112;
217;Q5S007;
218;Q92508;
219;Q8IWT3;
220;Q2M2H8;O43451,P14410
221;Q9Y618;
222;P49327;
223;O00555;
224;Q96JM2;
225;P46100;A0A0C5B5G6,
226;P11717;
227;Q8IVL1;
228;Q12923;
229;Q96AY4;
230;O15078;
231;Q13813;
232;Q5UIP0;
233;P46821;
234;Q5JWR5;
235;Q7Z442;
236;O00763;Q13085,
237;Q8NDH2;Q3LI68,
238;P31629;
239;Q96JI7;
240;Q92793;Q09472
241;Q9BV73;
242;O75376;Q9H4R4
243;Q6W4X9;
244;Q9BZC7;
245;Q5VWN6;
246;P18583;
247;Q7Z2Y8;
248;P02549;
249;Q9UGM3;O43866,
250;Q5T1R4;
251;Q8IWN7;
252;O15020;P11277,Q01082,
253;P02751;
254;Q8IVL0;
255;Q9H4A3;
256;O43497;O95180,A0A075B6Z4
257;A5YKK6;
258;A2RRP1;
259;Q6PRD1;
260;Q9H2D6;
261;P12270;
262;O15027;A0A0G2JKW9,
263;Q9HCK1;
264;Q4AC94;
265;A6NE01;
266;P00451;
267;P08922;Q96KF2,
268;Q5VU43;
269;Q8NG31;
270;Q96RV3;A6NKB5,Q9H6A9,
271;Q00975;Q15878,
272;Q6P2Q9;
273;Q3ZCN5;
274;Q9UMZ3;
275;Q7Z7A1;
276;Q6UVK1;A0A075B6Y0,A0A087WU04
277;Q9NSI6;Q8WWQ0,Q6RI45,
278;Q13023;
279;P23471;P23470,
280;O95996;
281;Q9P212;
282;Q9Y3R5;
283;Q9Y3S1;
284;Q07864;A0N4X5,A0A075B706
285;O14497;
286;Q5VUA4;
287;P78363;O95477,
288;O60287;
289;Q8WYP5;
290;Q9Y2F5;
291;Q9NTG1;
292;Q9C0F0;
293;Q9C0G0;
294;Q68DE3;
295;O75165;
296;Q3T8J9;Q9H869,
297;Q9BTC0;
298;Q8NFD5;
299;Q14667;
300;Q13439;
301;Q5JSZ5;
302;Q86VV8;
303;P27708;P31327
304;P12259;
305;Q6Q759;
306;Q9P0X4;
307;Q13936;O60840,Q01668,Q13698,
308;Q9Y6J0;
309;Q13402;
310;O95425;
311;Q8NB66;A0A0A0MT92,A0A0A0MT86,O14795,A0A0A0MT82,A0A0A0MT99,Q9UPW8
312;Q92673;
313;Q7Z5N4;Q58EX2,
314;Q71F56;Q9UHV7,M0R0W3
315;P50748;
316;Q8N3C0;
317;P24821;
318;Q8N201;
319;Q96BY6;
320;Q5H8C1;
321;Q5TH69;
322;Q93074;Q86YW9
323;Q86TB3;
324;Q99102;A0A075B6Y5,
325;Q9UIF8;
326;Q9Y566;
327;P48634;
328;Q13459;
329;P56715;
330;Q5VYJ5;
331;O75443;
332;Q5THK1;
333;P49750;
334;Q8IZY2;
335;Q9H583;
336;Q96N67;Q96HP0,
337;O75643;
338;Q8NFU7;
339;O43157;Q9ULL4
340;Q14674;
341;Q6PIF6;
342;Q14980;
343;Q12789;
344;Q2KJY2;
345;Q86YA3;
346;Q5HYC2;
347;P42356;Q8N8J0,A4QPH2
348;Q8NF50;
349;Q9Y2I7;
350;O60522;
351;P35658;A0A075B6W2
352;Q8N4C6;
353;Q14676;
354;A7KAX9;
355;O75923;Q9NZM1
356;E9PAV3;Q9BZK3,Q9H009,
357;Q96BY7;
358;Q5JSL3;Q9BZ29,
359;Q8WYB5;A0A075B700
360;Q9P2D3;Q86XA9
361;O75970;
362;O00468;
363;Q8IVV2;A0A075B6V1,
364;Q14686;
365;Q96PE2;
366;Q6UB98;
367;A0A494C071;
368;Q9HD67;
369;A0AVI2;
370;Q92614;
371;Q8TD84;O60469,
372;Q8IYD8;
373;P17927;Q2VPA4,
374;Q92576;
