AC;CSAH
Q16643;173 - 238
Q9UL16;489 - 526
Q15696;81 - 112
Q9HD67;815 - 870
Q6Y7W6;730 - 897
Q86SQ0;1034 - 1097
Q5SQS7;122 - 188
Q96T17;85 - 120
Q96T17;399 - 527
Q9UKE5;364 - 459
Q86UU1;1144 - 1210
Q8ND24;264 - 294
Q9H3P7;180 - 243
H0YM25;250 - 667
H0YM25;669 - 794
Q9NRL2;331 - 394
Q9UPQ9;14 - 44
Q07283;284 - 411
Q07283;493 - 567
Q07283;724 - 765
Q07283;1310 - 1342
Q07283;1350 - 1467
Q07283;1480 - 1520
Q07283;1532 - 1568
Q07283;1574 - 1608
Q07283;1638 - 1673
Q07283;1681 - 1826
Q07283;1855 - 1895
Q9UM54;929 - 984
Q08AD1;1197 - 1237
P78312;899 - 929
Q96KR1;641 - 674
O75665;291 - 357
Q96JM4;308 - 376
Q0ZGT2;105 - 136
Q0ZGT2;248 - 286
Q0ZGT2;311 - 349
Q0ZGT2;379 - 412
Q8IYW5;112 - 185
Q5T5Y3;1307 - 1345
P55081;225 - 257
P05455;187 - 228
Q92575;230 - 261
Q6ZU35;330 - 364
O60841;342 - 397
Q5TID7;353 - 384
Q8N9W4;272 - 339
Q8N9W4;354 - 486
O60293;446 - 477
Q86WJ1;639 - 673
Q14244;91 - 130
Q14244;477 - 569
O75420;687 - 730
Q9BUQ8;146 - 214
P55196;1596 - 1677
Q1MSJ5;799 - 856
P49589;649 - 679
Q0VF49;1065 - 1106
Q0VF49;1112 - 1171
Q9ULE4;400 - 482
Q13402;861 - 899
P23246;538 - 604
Q96HY6;142 - 187
Q9NQS7;536 - 600
Q9NQS7;608 - 647
Q9NQS7;654 - 687
Q5TCS8;686 - 732
B1AK53;792 - 836
Q96CS3;302 - 342
Q9HAU5;48 - 115
P45379;142 - 185
Q9BZI7;209 - 257
Q68D10;49 - 91
A6NEF3;195 - 244
A6NEF3;260 - 318
Q9C0B2;339 - 371
Q5CZC0;205 - 259
Q9NWB6;83 - 253
Q9P0L0;171 - 202
Q8NCU4;233 - 265
Q96CT7;50 - 82
Q9Y6V0;1212 - 1251
Q15811;630 - 662
Q15811;668 - 706
Q8NC56;35 - 75
Q02040;254 - 314
Q8IVD9;67 - 97
Q13111;411 - 443
P27797;351 - 382
Q7Z4V5;316 - 347
Q8NDV7;29 - 60
Q05682;264 - 407
Q05682;531 - 560
Q05682;566 - 632
Q9BY12;639 - 702
O60437;1314 - 1348
Q9UJU6;179 - 218
Q13227;38 - 74
Q4V328;214 - 248
Q9Y520;460 - 490
Q9UMZ2;114 - 149
